   500   -0.75140792E+0001   -0.61431982E+0001   -0.53172143E+0001   -0.11186381E+0002   -0.62095641E+0001   -0.64252000E+0001   -0.61412820E+0001   -0.61269530E+0001   -0.11937805E+0002   -0.61728963E+0001   -0.60803973E+0001   -0.83416844E+0001   -0.88969556E+0001   -0.82447472E+0001   -0.89952439E+0001   -0.88776513E+0001   -0.88763252E+0001   -0.88708320E+0001   -0.88936748E+0001   -0.61648981E+0001   -0.61547277E+0001   -0.11747972E+0002   -0.11866656E+0002   -0.61976703E+0001   -0.62113474E+0001   -0.61694326E+0001   -0.61898685E+0001   -0.60978581E+0001   -0.11850722E+0002   -0.61074715E+0001   -0.61205418E+0001   -0.11797471E+0002   -0.61103618E+0001   -0.61247550E+0001   -0.61265708E+0001   -0.60063113E+0001   -0.57294199E+0001   -0.67691387E+0001   -0.42538078E+0001
   550   -0.75138256E+0001   -0.61450221E+0001   -0.53168279E+0001   -0.11187164E+0002   -0.62100652E+0001   -0.64177203E+0001   -0.61414108E+0001   -0.61244938E+0001   -0.11939707E+0002   -0.61759055E+0001   -0.60735327E+0001   -0.83413959E+0001   -0.88915136E+0001   -0.82440162E+0001   -0.89924854E+0001   -0.88798527E+0001   -0.88716566E+0001   -0.88755228E+0001   -0.89005403E+0001   -0.61680202E+0001   -0.61487086E+0001   -0.11750871E+0002   -0.11861912E+0002   -0.62001973E+0001   -0.62061509E+0001   -0.61702082E+0001   -0.61914297E+0001   -0.60952000E+0001   -0.11848840E+0002   -0.61087634E+0001   -0.61257719E+0001   -0.11798686E+0002   -0.61117920E+0001   -0.61286728E+0001   -0.61212746E+0001   -0.60025253E+0001   -0.57289632E+0001   -0.67739989E+0001   -0.42545543E+0001
   600   -0.75135250E+0001   -0.61458988E+0001   -0.53110143E+0001   -0.11196796E+0002   -0.62077738E+0001   -0.64138130E+0001   -0.61406846E+0001   -0.61215513E+0001   -0.11939958E+0002   -0.61753145E+0001   -0.60749798E+0001   -0.83422339E+0001   -0.88921671E+0001   -0.82419856E+0001   -0.89994559E+0001   -0.88801199E+0001   -0.88688171E+0001   -0.88743316E+0001   -0.88967209E+0001   -0.61681911E+0001   -0.61465097E+0001   -0.11750523E+0002   -0.11860773E+0002   -0.61999184E+0001   -0.62063374E+0001   -0.61723856E+0001   -0.61941414E+0001   -0.60952025E+0001   -0.11851585E+0002   -0.61086494E+0001   -0.61272511E+0001   -0.11795034E+0002   -0.61132739E+0001   -0.61260543E+0001   -0.61176076E+0001   -0.60002884E+0001   -0.57291728E+0001   -0.67745695E+0001   -0.42528641E+0001
   650   -0.75131835E+0001   -0.61455068E+0001   -0.53089103E+0001   -0.11192915E+0002   -0.62059451E+0001   -0.64131441E+0001   -0.61435541E+0001   -0.61187330E+0001   -0.11938063E+0002   -0.61749403E+0001   -0.60773588E+0001   -0.83482513E+0001   -0.88977389E+0001   -0.82401279E+0001   -0.90027665E+0001   -0.88805150E+0001   -0.88720662E+0001   -0.88675057E+0001   -0.88943254E+0001   -0.61690958E+0001   -0.61437229E+0001   -0.11752952E+0002   -0.11858738E+0002   -0.61996508E+0001   -0.62082726E+0001   -0.61734579E+0001   -0.61972598E+0001   -0.60928909E+0001   -0.11852076E+0002   -0.61077473E+0001   -0.61234210E+0001   -0.11792369E+0002   -0.61135369E+0001   -0.61204021E+0001   -0.61159205E+0001   -0.60005642E+0001   -0.57337433E+0001   -0.67711164E+0001   -0.42516689E+0001
   700   -0.75132645E+0001   -0.61473501E+0001   -0.53109226E+0001   -0.11188520E+0002   -0.62042229E+0001   -0.64139872E+0001   -0.61454498E+0001   -0.61212613E+0001   -0.11936577E+0002   -0.61747223E+0001   -0.60785622E+0001   -0.83463104E+0001   -0.88981147E+0001   -0.82362559E+0001   -0.90057358E+0001   -0.88842086E+0001   -0.88734060E+0001   -0.88732130E+0001   -0.88964214E+0001   -0.61694096E+0001   -0.61416218E+0001   -0.11751681E+0002   -0.11858556E+0002   -0.62002866E+0001   -0.62087358E+0001   -0.61725288E+0001   -0.61962185E+0001   -0.60906843E+0001   -0.11853530E+0002   -0.61079607E+0001   -0.61216344E+0001   -0.11792919E+0002   -0.61118113E+0001   -0.61199413E+0001   -0.61178087E+0001   -0.60000093E+0001   -0.57327797E+0001   -0.67677416E+0001   -0.42529515E+0001
   750   -0.75135101E+0001   -0.61511725E+0001   -0.53128408E+0001   -0.11190251E+0002   -0.62054220E+0001   -0.64099185E+0001   -0.61450536E+0001   -0.61218746E+0001   -0.11932656E+0002   -0.61721845E+0001   -0.60787415E+0001   -0.83434481E+0001   -0.88976963E+0001   -0.82416445E+0001   -0.90070491E+0001   -0.88839179E+0001   -0.88734792E+0001   -0.88711421E+0001   -0.88997816E+0001   -0.61695931E+0001   -0.61407046E+0001   -0.11755749E+0002   -0.11858253E+0002   -0.61987671E+0001   -0.62095757E+0001   -0.61713893E+0001   -0.61949969E+0001   -0.60900913E+0001   -0.11851740E+0002   -0.61080417E+0001   -0.61197891E+0001   -0.11796136E+0002   -0.61136806E+0001   -0.61237920E+0001   -0.61174092E+0001   -0.60001694E+0001   -0.57310214E+0001   -0.67706020E+0001   -0.42536085E+0001
   800   -0.75129425E+0001   -0.61525479E+0001   -0.53137411E+0001   -0.11183888E+0002   -0.62018722E+0001   -0.64023254E+0001   -0.61442208E+0001   -0.61212165E+0001   -0.11928072E+0002   -0.61708673E+0001   -0.60740256E+0001   -0.83417145E+0001   -0.88987970E+0001   -0.82435947E+0001   -0.90274984E+0001   -0.88811988E+0001   -0.88742178E+0001   -0.88674140E+0001   -0.89057622E+0001   -0.61721674E+0001   -0.61391013E+0001   -0.11759802E+0002   -0.11856826E+0002   -0.61976541E+0001   -0.62071779E+0001   -0.61658912E+0001   -0.61908611E+0001   -0.60865471E+0001   -0.11853237E+0002   -0.61085339E+0001   -0.61164157E+0001   -0.11792921E+0002   -0.61067957E+0001   -0.61259078E+0001   -0.61235061E+0001   -0.59988418E+0001   -0.57287401E+0001   -0.67737624E+0001   -0.42541529E+0001
   850   -0.75129287E+0001   -0.61494516E+0001   -0.53104485E+0001   -0.11183116E+0002   -0.62029844E+0001   -0.64038662E+0001   -0.61438453E+0001   -0.61202937E+0001   -0.11929435E+0002   -0.61732552E+0001   -0.60722480E+0001   -0.83412362E+0001   -0.89005020E+0001   -0.82413666E+0001   -0.90249163E+0001   -0.88800360E+0001   -0.88744048E+0001   -0.88730746E+0001   -0.89027573E+0001   -0.61745937E+0001   -0.61420343E+0001   -0.11756123E+0002   -0.11855712E+0002   -0.62013568E+0001   -0.62112834E+0001   -0.61675913E+0001   -0.61874228E+0001   -0.60854554E+0001   -0.11848719E+0002   -0.61081587E+0001   -0.61200974E+0001   -0.11790657E+0002   -0.61036108E+0001   -0.61280211E+0001   -0.61272979E+0001   -0.59983674E+0001   -0.57313363E+0001   -0.67720836E+0001   -0.42541326E+0001
   900   -0.75130987E+0001   -0.61493869E+0001   -0.53097180E+0001   -0.11199484E+0002   -0.62093537E+0001   -0.64091762E+0001   -0.61446076E+0001   -0.61160969E+0001   -0.11912546E+0002   -0.61697186E+0001   -0.60711631E+0001   -0.83355349E+0001   -0.89006078E+0001   -0.82408712E+0001   -0.90215053E+0001   -0.88849221E+0001   -0.88661891E+0001   -0.88796140E+0001   -0.89017736E+0001   -0.61705591E+0001   -0.61412456E+0001   -0.11756633E+0002   -0.11869166E+0002   -0.61994857E+0001   -0.62108546E+0001   -0.61653105E+0001   -0.61883425E+0001   -0.60888222E+0001   -0.11855147E+0002   -0.61083231E+0001   -0.61290068E+0001   -0.11786295E+0002   -0.61064867E+0001   -0.61257714E+0001   -0.61241940E+0001   -0.60014921E+0001   -0.57282863E+0001   -0.67694184E+0001   -0.42506413E+0001
   950   -0.75128751E+0001   -0.61504938E+0001   -0.53091310E+0001   -0.11211472E+0002   -0.62116031E+0001   -0.64121661E+0001   -0.61421534E+0001   -0.61170528E+0001   -0.11912900E+0002   -0.61650829E+0001   -0.60680133E+0001   -0.83316290E+0001   -0.88921215E+0001   -0.82508149E+0001   -0.90225506E+0001   -0.88812801E+0001   -0.88634669E+0001   -0.88826064E+0001   -0.89090451E+0001   -0.61714019E+0001   -0.61414383E+0001   -0.11753243E+0002   -0.11863647E+0002   -0.61928913E+0001   -0.62078480E+0001   -0.61646126E+0001   -0.61930515E+0001   -0.60836012E+0001   -0.11849755E+0002   -0.61083824E+0001   -0.61306017E+0001   -0.11785738E+0002   -0.61080036E+0001   -0.61256271E+0001   -0.61206303E+0001   -0.60002180E+0001   -0.57303937E+0001   -0.67745133E+0001   -0.42500725E+0001
