  2400   -0.71203707E+0001   -0.54488659E+0001   -0.61324000E+0001   -0.11686152E+0002   -0.56152529E+0001   -0.44779636E+0001   -0.66340561E+0001   -0.51896407E+0001   -0.10498822E+0002   -0.61522039E+0001   -0.60683836E+0001   -0.81602138E+0001   -0.80721879E+0001   -0.87148580E+0001   -0.88394263E+0001   -0.76002980E+0001   -0.84418438E+0001   -0.75241651E+0001   -0.90550563E+0001   -0.53187671E+0001   -0.62651519E+0001
  2600   -0.71205182E+0001   -0.54742238E+0001   -0.61335269E+0001   -0.11721850E+0002   -0.56475629E+0001   -0.44710484E+0001   -0.66494018E+0001   -0.51817766E+0001   -0.10455985E+0002   -0.61610689E+0001   -0.60713210E+0001   -0.81639378E+0001   -0.80648280E+0001   -0.87212622E+0001   -0.87965170E+0001   -0.75962145E+0001   -0.84590581E+0001   -0.75050669E+0001   -0.90391346E+0001   -0.53132782E+0001   -0.62487602E+0001
  2800   -0.71196664E+0001   -0.55046518E+0001   -0.61179474E+0001   -0.11682536E+0002   -0.56482573E+0001   -0.44797598E+0001   -0.66509180E+0001   -0.51851232E+0001   -0.10445601E+0002   -0.61665371E+0001   -0.60699419E+0001   -0.82054022E+0001   -0.80560666E+0001   -0.87152183E+0001   -0.87880514E+0001   -0.75999602E+0001   -0.84575216E+0001   -0.74980957E+0001   -0.90263956E+0001   -0.53292975E+0001   -0.62669852E+0001
  3000   -0.71194352E+0001   -0.55055380E+0001   -0.61372810E+0001   -0.11682073E+0002   -0.56551391E+0001   -0.44663006E+0001   -0.66507208E+0001   -0.51886055E+0001   -0.10439626E+0002   -0.61655496E+0001   -0.60739028E+0001   -0.81873288E+0001   -0.80632640E+0001   -0.87129239E+0001   -0.88047887E+0001   -0.75942553E+0001   -0.84379952E+0001   -0.74751605E+0001   -0.90411433E+0001   -0.53213828E+0001   -0.62748283E+0001
  3200   -0.71188768E+0001   -0.54900318E+0001   -0.61048283E+0001   -0.11665834E+0002   -0.56536664E+0001   -0.44495946E+0001   -0.66560274E+0001   -0.51946822E+0001   -0.10447791E+0002   -0.61764800E+0001   -0.60632407E+0001   -0.81865123E+0001   -0.80624424E+0001   -0.87493655E+0001   -0.88376841E+0001   -0.76003162E+0001   -0.84412512E+0001   -0.74951370E+0001   -0.90643135E+0001   -0.53266324E+0001   -0.62549646E+0001
  3400   -0.71203763E+0001   -0.54910901E+0001   -0.61156160E+0001   -0.11677761E+0002   -0.56665828E+0001   -0.44388690E+0001   -0.66724157E+0001   -0.51907784E+0001   -0.10453410E+0002   -0.61706026E+0001   -0.60625055E+0001   -0.81695655E+0001   -0.80671411E+0001   -0.87453820E+0001   -0.88388158E+0001   -0.75839190E+0001   -0.84535912E+0001   -0.74769474E+0001   -0.90614213E+0001   -0.53417815E+0001   -0.62699626E+0001
  3600   -0.71199171E+0001   -0.54962509E+0001   -0.61178101E+0001   -0.11673412E+0002   -0.56534215E+0001   -0.44527877E+0001   -0.66683839E+0001   -0.51895260E+0001   -0.10470041E+0002   -0.61492209E+0001   -0.60643042E+0001   -0.81821187E+0001   -0.80557943E+0001   -0.87351813E+0001   -0.88159707E+0001   -0.75856790E+0001   -0.84541000E+0001   -0.74978486E+0001   -0.90639626E+0001   -0.53448907E+0001   -0.62589767E+0001
  3800   -0.71196633E+0001   -0.55174475E+0001   -0.61226416E+0001   -0.11685090E+0002   -0.56850845E+0001   -0.44256381E+0001   -0.66724901E+0001   -0.51895201E+0001   -0.10459462E+0002   -0.61451452E+0001   -0.60721357E+0001   -0.82047336E+0001   -0.80490936E+0001   -0.87377149E+0001   -0.87876412E+0001   -0.76049108E+0001   -0.84813344E+0001   -0.74719153E+0001   -0.90907126E+0001   -0.53507310E+0001   -0.62589735E+0001
  4000   -0.71185103E+0001   -0.55438692E+0001   -0.60878395E+0001   -0.11710862E+0002   -0.56663263E+0001   -0.44041728E+0001   -0.66702973E+0001   -0.51825474E+0001   -0.10433293E+0002   -0.61493658E+0001   -0.60776354E+0001   -0.82194073E+0001   -0.80560995E+0001   -0.87493875E+0001   -0.88140022E+0001   -0.76318338E+0001   -0.84604322E+0001   -0.74614373E+0001   -0.90818705E+0001   -0.53444536E+0001   -0.62336896E+0001
  4200   -0.71176344E+0001   -0.55397077E+0001   -0.60908103E+0001   -0.11713857E+0002   -0.56679522E+0001   -0.43840334E+0001   -0.66835279E+0001   -0.51792186E+0001   -0.10423678E+0002   -0.61656262E+0001   -0.60811737E+0001   -0.82272202E+0001   -0.80437010E+0001   -0.87448484E+0001   -0.88309389E+0001   -0.76328164E+0001   -0.84806558E+0001   -0.74657994E+0001   -0.91021071E+0001   -0.53418873E+0001   -0.62515121E+0001
  4400   -0.71168551E+0001   -0.55399254E+0001   -0.60924726E+0001   -0.11716656E+0002   -0.56847125E+0001   -0.43982662E+0001   -0.66862663E+0001   -0.51798736E+0001   -0.10438648E+0002   -0.61763378E+0001   -0.60852755E+0001   -0.82203920E+0001   -0.80293521E+0001   -0.87223679E+0001   -0.87785651E+0001   -0.76485383E+0001   -0.84709569E+0001   -0.74557854E+0001   -0.91192034E+0001   -0.53278203E+0001   -0.62498929E+0001
  4600   -0.71164854E+0001   -0.55355865E+0001   -0.60896583E+0001   -0.11702475E+0002   -0.56842359E+0001   -0.44027135E+0001   -0.67013818E+0001   -0.51837562E+0001   -0.10458357E+0002   -0.61853642E+0001   -0.60748111E+0001   -0.82329387E+0001   -0.80233362E+0001   -0.87516840E+0001   -0.87915623E+0001   -0.76503481E+0001   -0.84492267E+0001   -0.74612346E+0001   -0.91058454E+0001   -0.53252344E+0001   -0.62681269E+0001
  4800   -0.71157097E+0001   -0.55427615E+0001   -0.60749344E+0001   -0.11715037E+0002   -0.56974285E+0001   -0.44069783E+0001   -0.67063484E+0001   -0.51789766E+0001   -0.10448692E+0002   -0.61858551E+0001   -0.60870475E+0001   -0.82232733E+0001   -0.80325556E+0001   -0.87429806E+0001   -0.87677458E+0001   -0.76389067E+0001   -0.84559145E+0001   -0.74582098E+0001   -0.91038111E+0001   -0.53267598E+0001   -0.62806282E+0001
  5000   -0.71161546E+0001   -0.55544419E+0001   -0.60684235E+0001   -0.11727032E+0002   -0.57257268E+0001   -0.44014556E+0001   -0.67021757E+0001   -0.51855165E+0001   -0.10431769E+0002   -0.61797047E+0001   -0.60820323E+0001   -0.82241844E+0001   -0.80218445E+0001   -0.87268014E+0001   -0.87508162E+0001   -0.76450803E+0001   -0.85068308E+0001   -0.74354129E+0001   -0.91025268E+0001   -0.53281290E+0001   -0.62818290E+0001
  5200   -0.71140857E+0001   -0.55495283E+0001   -0.60612669E+0001   -0.11732914E+0002   -0.57173841E+0001   -0.43890248E+0001   -0.66850401E+0001   -0.51861436E+0001   -0.10456945E+0002   -0.61863123E+0001   -0.60827742E+0001   -0.82286230E+0001   -0.80154659E+0001   -0.87374220E+0001   -0.87536571E+0001   -0.76541758E+0001   -0.85046690E+0001   -0.74464514E+0001   -0.91040307E+0001   -0.53096907E+0001   -0.62472960E+0001
  5400   -0.71125022E+0001   -0.55480938E+0001   -0.60268383E+0001   -0.11741891E+0002   -0.57225254E+0001   -0.43706978E+0001   -0.66774219E+0001   -0.51841213E+0001   -0.10455905E+0002   -0.62303632E+0001   -0.60764776E+0001   -0.82270300E+0001   -0.80343147E+0001   -0.87436141E+0001   -0.87549100E+0001   -0.76690315E+0001   -0.84659314E+0001   -0.74651623E+0001   -0.90836425E+0001   -0.52859159E+0001   -0.62254037E+0001
  5600   -0.71124838E+0001   -0.55496641E+0001   -0.60255467E+0001   -0.11725943E+0002   -0.57150235E+0001   -0.43723973E+0001   -0.66756361E+0001   -0.51847319E+0001   -0.10450694E+0002   -0.62322209E+0001   -0.60785624E+0001   -0.82232066E+0001   -0.80400951E+0001   -0.87315315E+0001   -0.87946983E+0001   -0.76671093E+0001   -0.84801975E+0001   -0.74454287E+0001   -0.90777643E+0001   -0.52988282E+0001   -0.62281543E+0001
  5800   -0.71124299E+0001   -0.55570205E+0001   -0.60233120E+0001   -0.11712519E+0002   -0.57144174E+0001   -0.43755969E+0001   -0.66728422E+0001   -0.51775745E+0001   -0.10435001E+0002   -0.62290292E+0001   -0.61054194E+0001   -0.82435369E+0001   -0.80395127E+0001   -0.87346821E+0001   -0.87775239E+0001   -0.77028306E+0001   -0.84766526E+0001   -0.74391102E+0001   -0.90968495E+0001   -0.52949634E+0001   -0.62412013E+0001
  6000   -0.71136961E+0001   -0.55563820E+0001   -0.60086994E+0001   -0.11697350E+0002   -0.57024013E+0001   -0.43755049E+0001   -0.66810742E+0001   -0.51725249E+0001   -0.10424378E+0002   -0.62512035E+0001   -0.61000086E+0001   -0.82494469E+0001   -0.80433659E+0001   -0.87491352E+0001   -0.87678266E+0001   -0.77083456E+0001   -0.84636916E+0001   -0.74512830E+0001   -0.91176377E+0001   -0.53081193E+0001   -0.62638565E+0001
  6200   -0.71135035E+0001   -0.55744706E+0001   -0.59839320E+0001   -0.11693123E+0002   -0.57176180E+0001   -0.43802253E+0001   -0.66914493E+0001   -0.51733186E+0001   -0.10453098E+0002   -0.62336677E+0001   -0.61038519E+0001   -0.82349271E+0001   -0.80298596E+0001   -0.87587760E+0001   -0.87732599E+0001   -0.77037125E+0001   -0.84924453E+0001   -0.74334976E+0001   -0.91377705E+0001   -0.53170280E+0001   -0.62669952E+0001
  6400   -0.71098589E+0001   -0.55939420E+0001   -0.59436726E+0001   -0.11672845E+0002   -0.57064905E+0001   -0.43622982E+0001   -0.67036867E+0001   -0.51835550E+0001   -0.10389255E+0002   -0.62429925E+0001   -0.60974221E+0001   -0.82512173E+0001   -0.80281367E+0001   -0.87833333E+0001   -0.88100476E+0001   -0.77103661E+0001   -0.85013476E+0001   -0.74239573E+0001   -0.91232996E+0001   -0.53018871E+0001   -0.62655029E+0001
  6600   -0.71095501E+0001   -0.55836279E+0001   -0.59370157E+0001   -0.11691675E+0002   -0.56890796E+0001   -0.43601609E+0001   -0.66938954E+0001   -0.51787864E+0001   -0.10392745E+0002   -0.62513281E+0001   -0.60793919E+0001   -0.82429488E+0001   -0.80202161E+0001   -0.87799960E+0001   -0.87925446E+0001   -0.77208902E+0001   -0.84853954E+0001   -0.74202531E+0001   -0.91229624E+0001   -0.52984964E+0001   -0.62529998E+0001
  6800   -0.71107405E+0001   -0.55720974E+0001   -0.59240277E+0001   -0.11701418E+0002   -0.57081347E+0001   -0.43615986E+0001   -0.66924395E+0001   -0.51791735E+0001   -0.10392299E+0002   -0.62413644E+0001   -0.60891548E+0001   -0.82173046E+0001   -0.80192718E+0001   -0.87867221E+0001   -0.87852672E+0001   -0.77392195E+0001   -0.84841499E+0001   -0.73918555E+0001   -0.91511775E+0001   -0.52878962E+0001   -0.62683492E+0001
  7000   -0.71084698E+0001   -0.55539137E+0001   -0.59299591E+0001   -0.11682161E+0002   -0.57062547E+0001   -0.43687309E+0001   -0.66993174E+0001   -0.51790526E+0001   -0.10412263E+0002   -0.62663904E+0001   -0.60729840E+0001   -0.82326668E+0001   -0.80301310E+0001   -0.87853795E+0001   -0.87665179E+0001   -0.76920271E+0001   -0.84757866E+0001   -0.73932049E+0001   -0.91384617E+0001   -0.52951151E+0001   -0.62849371E+0001
  7200   -0.71079474E+0001   -0.55445955E+0001   -0.59488143E+0001   -0.11686658E+0002   -0.57042041E+0001   -0.43879625E+0001   -0.66942896E+0001   -0.51758986E+0001   -0.10413693E+0002   -0.62405141E+0001   -0.60702225E+0001   -0.82342866E+0001   -0.80360936E+0001   -0.87899602E+0001   -0.87538913E+0001   -0.76601783E+0001   -0.85023397E+0001   -0.73847938E+0001   -0.91215416E+0001   -0.52986849E+0001   -0.62589959E+0001
  7400   -0.71065667E+0001   -0.55646166E+0001   -0.59463051E+0001   -0.11669755E+0002   -0.56777961E+0001   -0.43919141E+0001   -0.66940081E+0001   -0.51715240E+0001   -0.10398274E+0002   -0.62481709E+0001   -0.60757867E+0001   -0.82273894E+0001   -0.80461374E+0001   -0.87826931E+0001   -0.87781619E+0001   -0.76788258E+0001   -0.85077805E+0001   -0.73707495E+0001   -0.91340165E+0001   -0.52919577E+0001   -0.62619538E+0001
  7600   -0.71058748E+0001   -0.55728601E+0001   -0.59496715E+0001   -0.11674252E+0002   -0.56732494E+0001   -0.44005237E+0001   -0.66881046E+0001   -0.51768500E+0001   -0.10375490E+0002   -0.62651656E+0001   -0.60773841E+0001   -0.82065901E+0001   -0.80504341E+0001   -0.87601900E+0001   -0.87797359E+0001   -0.76919441E+0001   -0.84705152E+0001   -0.73932765E+0001   -0.91265571E+0001   -0.52914368E+0001   -0.62693976E+0001
  7800   -0.71040824E+0001   -0.55675401E+0001   -0.59163710E+0001   -0.11672540E+0002   -0.56597410E+0001   -0.43936831E+0001   -0.66846522E+0001   -0.51723185E+0001   -0.10367458E+0002   -0.62512549E+0001   -0.60998052E+0001   -0.82345065E+0001   -0.80452048E+0001   -0.87810348E+0001   -0.87720130E+0001   -0.77352289E+0001   -0.84797209E+0001   -0.73981438E+0001   -0.91080087E+0001   -0.52866340E+0001   -0.62932641E+0001
