  1500   -0.56765416E+0001   -0.53507066E+0001   -0.53800037E+0001   -0.53814053E+0001   -0.53908373E+0001   -0.53372730E+0001   -0.53665462E+0001   -0.94581221E+0001   -0.53915311E+0001   -0.53808482E+0001   -0.53799008E+0001   -0.53112971E+0001   -0.53070857E+0001   -0.53594844E+0001
  1600   -0.56768300E+0001   -0.53448457E+0001   -0.53775685E+0001   -0.53819478E+0001   -0.53904667E+0001   -0.53335076E+0001   -0.53608807E+0001   -0.94539423E+0001   -0.53906561E+0001   -0.53805106E+0001   -0.53805778E+0001   -0.53213524E+0001   -0.53168972E+0001   -0.53656361E+0001
  1700   -0.56763682E+0001   -0.53429239E+0001   -0.53802288E+0001   -0.53824655E+0001   -0.53872091E+0001   -0.53267921E+0001   -0.53612815E+0001   -0.94639781E+0001   -0.53919288E+0001   -0.53830901E+0001   -0.53804186E+0001   -0.53147885E+0001   -0.53111590E+0001   -0.53665226E+0001
  1800   -0.56763503E+0001   -0.53438472E+0001   -0.53825351E+0001   -0.53861512E+0001   -0.53892038E+0001   -0.53271060E+0001   -0.53624688E+0001   -0.94604335E+0001   -0.53924195E+0001   -0.53852814E+0001   -0.53821922E+0001   -0.53109813E+0001   -0.53062595E+0001   -0.53636744E+0001
  1900   -0.56773761E+0001   -0.53457024E+0001   -0.53857132E+0001   -0.53927825E+0001   -0.53921758E+0001   -0.53279455E+0001   -0.53682430E+0001   -0.94577703E+0001   -0.53945405E+0001   -0.53863782E+0001   -0.53819714E+0001   -0.53097306E+0001   -0.53038853E+0001   -0.53590504E+0001
  2000   -0.56778919E+0001   -0.53459540E+0001   -0.53874069E+0001   -0.53937946E+0001   -0.53933985E+0001   -0.53267408E+0001   -0.53705947E+0001   -0.94539345E+0001   -0.53978421E+0001   -0.53847221E+0001   -0.53799730E+0001   -0.53118243E+0001   -0.53059264E+0001   -0.53604823E+0001
  2100   -0.56785648E+0001   -0.53494122E+0001   -0.53923962E+0001   -0.53934199E+0001   -0.53929511E+0001   -0.53309053E+0001   -0.53769434E+0001   -0.94606558E+0001   -0.53945396E+0001   -0.53820898E+0001   -0.53749817E+0001   -0.53135912E+0001   -0.53080865E+0001   -0.53513695E+0001
  2200   -0.56796079E+0001   -0.53516657E+0001   -0.53950519E+0001   -0.53942883E+0001   -0.53924134E+0001   -0.53336112E+0001   -0.53791657E+0001   -0.94604002E+0001   -0.53948950E+0001   -0.53810945E+0001   -0.53708638E+0001   -0.53172799E+0001   -0.53144083E+0001   -0.53497644E+0001
  2300   -0.56796086E+0001   -0.53537848E+0001   -0.53929408E+0001   -0.53954948E+0001   -0.53952541E+0001   -0.53401932E+0001   -0.53829065E+0001   -0.94579607E+0001   -0.53897336E+0001   -0.53760862E+0001   -0.53675200E+0001   -0.53207504E+0001   -0.53188002E+0001   -0.53434861E+0001
  2400   -0.56789017E+0001   -0.53554946E+0001   -0.53916232E+0001   -0.53935749E+0001   -0.53936646E+0001   -0.53413253E+0001   -0.53818663E+0001   -0.94537450E+0001   -0.53918331E+0001   -0.53742917E+0001   -0.53621123E+0001   -0.53199162E+0001   -0.53221383E+0001   -0.53441370E+0001
